trial_id,seed,split_id,k,config_name,baseline_eer,xpca_eer,delta_eer,baseline_auc,xpca_auc,delta_auc,baseline_threshold,xpca_threshold,train_count,probe_count,genuine_count,impostor_count,runtime,git_commit,config_hash,score_file_baseline,score_file_xpca
0,0,split_0,128,Standard,7.8790019966490545,8.187688579845442,0.3086865831963881,0.9726680727628199,0.9716090822384281,-0.0010589905243917341,0.28645849227905273,0.30357440772202265,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,trial_0_standard_scores.npz,trial_0_standard_scores.npz
0,0,split_0,128,Optimized,7.1392247862836085,7.200783671371909,0.06155888508830032,0.9774735478915596,0.9773756845427446,-9.786334881500824e-05,0.28779327869415283,0.28960418404582755,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,trial_0_optimized_scores.npz,trial_0_optimized_scores.npz
1,1,split_1,128,Standard,8.758223464105818,8.454176101234927,-0.3040473628708906,0.9639189184001377,0.96346562700082,-0.00045329139931771234,0.27411699295043945,0.29833050906431186,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
1,1,split_1,128,Optimized,8.118367922289488,8.032185483165872,-0.08618243912361517,0.9699425023251523,0.969895579649719,-4.692267543338069e-05,0.27321964502334595,0.2779568410091614,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
2,2,split_2,128,Standard,7.1271806565924205,7.225139578080757,0.0979589214883364,0.9728386992121315,0.9723318790781977,-0.0005068201339337719,0.29791635274887085,0.3148591148041258,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
2,2,split_2,128,Optimized,6.4700172543309815,6.526312408665352,0.056295154334370934,0.9767467542435023,0.976685227508243,-6.152673525927632e-05,0.2978043556213379,0.29851506954279927,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
3,3,split_3,128,Standard,7.54961735353892,7.566211487780114,0.016594134241193492,0.9714524000467698,0.97025304336894,-0.001199356677829777,0.29140472412109375,0.31620239133308153,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
3,3,split_3,128,Optimized,6.7429283115557626,6.62641250876545,-0.11651580279031237,0.9757046862200145,0.9756328174693064,-7.186875070808174e-05,0.29283902049064636,0.29935388907707783,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
4,4,split_4,128,Standard,7.7823813117930785,8.081789454338475,0.29940814254539594,0.9717112806994133,0.9711402485888202,-0.0005710321105930616,0.28755831718444824,0.3012056905099164,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
4,4,split_4,128,Optimized,7.217823884490554,7.294727882963177,0.07690399847262303,0.9751159548978761,0.97507429748762,-4.165741025607961e-05,0.2851909101009369,0.28659705232208804,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
5,5,split_5,128,Standard,7.601094855996818,7.89639907286966,0.2953042168728423,0.96812386102746,0.9675216567349343,-0.0006022042925256654,0.2926029562950134,0.30622888055370423,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
5,5,split_5,128,Optimized,7.376984827965223,7.4294437039535115,0.05245887598828852,0.9711743127940073,0.9711452654235008,-2.9047370506574133e-05,0.28573164343833923,0.28658624426868723,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
6,6,split_6,128,Standard,7.123701241348298,7.294103372534744,0.1704021311864451,0.9766170844843101,0.9759355738704071,-0.0006815106139029803,0.29659414291381836,0.31229711660367837,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
