component,eigenvalue,explained_variance_ratio,cumulative_variance
228,0.14630058,0.00044366694,0.8726646
229,0.14506164,0.00043990978,0.87310445
230,0.14461875,0.00043856667,0.873543
231,0.14416482,0.0004371901,0.8739802
232,0.14345405,0.00043503463,0.8744153
233,0.14284784,0.00043319626,0.8748485
234,0.14190514,0.00043033747,0.87527883
235,0.14161532,0.00042945854,0.8757083
236,0.14011534,0.00042490975,0.8761332
237,0.13999106,0.00042453286,0.8765577
238,0.13889548,0.00042121045,0.87697893
239,0.13848802,0.0004199748,0.8773989
240,0.13756002,0.00041716057,0.8778161
241,0.13707316,0.00041568413,0.87823176
242,0.13629475,0.00041332355,0.87864506
243,0.13553517,0.00041102004,0.8790561
244,0.13546382,0.00041080368,0.8794669
245,0.1339137,0.00040610283,0.879873
246,0.13327824,0.00040417575,0.88027716
247,0.1326757,0.00040234852,0.8806795
248,0.1318805,0.00039993704,0.88107944
249,0.13133357,0.0003982784,0.8814777
250,0.13085061,0.00039681382,0.8818745
251,0.13067792,0.00039629012,0.8822708
252,0.12982233,0.00039369546,0.8826645
253,0.12924564,0.0003919466,0.88305646
254,0.12833777,0.00038919345,0.8834457
255,0.12738237,0.0003862961,0.883832
256,0.12682794,0.00038461477,0.8842166
257,0.12575619,0.0003813646,0.88459796
258,0.12511201,0.0003794111,0.88497734
259,0.124844745,0.00037860058,0.88535595
260,0.12415291,0.00037650255,0.8857325
261,0.123843186,0.00037556328,0.88610804
262,0.12301773,0.00037306003,0.8864811
263,0.122245155,0.00037071714,0.88685185
264,0.12158536,0.00036871628,0.88722056
265,0.12102567,0.00036701895,0.8875876
266,0.120828874,0.00036642217,0.88795406
267,0.11993363,0.00036370728,0.88831776
268,0.11912845,0.00036126553,0.888679
269,0.11882394,0.00036034206,0.8890394
270,0.11848311,0.00035930847,0.8893987
271,0.11772017,0.0003569948,0.88975567
272,0.11729892,0.00035571735,0.8901114
273,0.116705194,0.0003539168,0.8904653
274,0.11664252,0.00035372676,0.8908191
275,0.115238614,0.0003494693,0.89116853
276,0.11437496,0.00034685023,0.8915154
277,0.1140475,0.00034585717,0.89186126
278,0.11383812,0.00034522222,0.8922065
279,0.113668576,0.00034470807,0.8925512
280,0.1126123,0.0003415048,0.8928927
281,0.11254157,0.00034129035,0.893234
282,0.11213128,0.0003400461,0.89357406
283,0.11113209,0.00033701598,0.89391106
284,0.11107587,0.0003368455,0.8942479
285,0.110403836,0.0003348075,0.8945827
286,0.10970931,0.00033270128,0.8949154
287,0.10907884,0.00033078936,0.8952462
288,0.10858086,0.0003292792,0.89557546
289,0.108131446,0.00032791632,0.8959034
290,0.10765253,0.00032646398,0.89622986
291,0.107477374,0.0003259328,0.8965558
292,0.10685632,0.00032404938,0.89687985
293,0.10627081,0.00032227382,0.89720213
294,0.1060762,0.00032168365,0.8975238
295,0.10602215,0.00032151974,0.8978453
296,0.10541219,0.00031966998,0.898165
297,0.10448671,0.00031686338,0.89848185
298,0.10429338,0.00031627712,0.8987981
299,0.103366226,0.00031346545,0.89911157
300,0.10296715,0.00031225523,0.89942384
301,0.10270962,0.00031147426,0.89973533
302,0.102275416,0.00031015748,0.9000455
303,0.10167139,0.00030832575,0.90035385
304,0.101189055,0.00030686302,0.9006607
305,0.10096918,0.00030619625,0.9009669
306,0.100416474,0.0003045201,0.9012714
307,0.10015705,0.0003037334,0.90157515
308,0.09954835,0.00030188746,0.90187705
309,0.09910316,0.0003005374,0.9021776
310,0.09887353,0.00029984105,0.9024774
311,0.09851907,0.0002987661,0.9027761
312,0.09815174,0.00029765215,0.9030738
313,0.097820304,0.00029664705,0.90337044
314,0.097219855,0.00029482614,0.90366524
315,0.09666474,0.00029314272,0.9039584
316,0.096143164,0.000291561,0.90424997
317,0.095659725,0.00029009493,0.90454006
318,0.09538621,0.00028926547,0.9048293
319,0.09478028,0.00028742795,0.90511674
