seed,dimension,method,eer,accuracy,auc,delta_eer
42,32,Raw PCA,9.258636905135118,90.74136309486488,0.9637896502418533,0.0
42,32,Raw XPCA (Min-Max),14.259953602106718,85.74004639789328,0.9349194215097208,5.0013166969716
42,32,Gabor + PCA,8.300081509812527,91.69991849018747,0.9721810368109325,0.0
42,32,Gabor + XPCA (Min-Max),8.191861558718413,91.80813844128159,0.9738948312379857,-0.10821995109411375
42,32,Gabor + XPCA (Softmax),9.257884506865633,90.74211549313436,0.9698927086184775,0.9578029970531059
42,32,Gabor + XPCA (Residual),7.425418521537399,92.5745814784626,0.976586547669477,-0.8746629882751282
42,32,Gabor + XPCA (Sort),6.636027337137122,93.36397266286288,0.979171618069181,-1.6640541726754048
42,32,Gabor + XPCA (Sort Weights),15.810395636090039,84.18960436390996,0.9211447354295474,7.510314126277512
42,64,Raw PCA,9.066775346416701,90.9332246535833,0.9680736958812313,0.0
42,64,Raw XPCA (Min-Max),11.725500031349927,88.27449996865006,0.9539065380656941,2.658724684933226
42,64,Gabor + PCA,7.230798169164208,92.76920183083578,0.9764350954031831,0.0
42,64,Gabor + XPCA (Min-Max),7.947959119694023,92.05204088030598,0.9749702224621469,0.7171609505298147
42,64,Gabor + XPCA (Softmax),8.925700670888457,91.07429932911154,0.9711143293638717,1.6949025017242487
42,64,Gabor + XPCA (Residual),6.20553012728071,93.79446987271929,0.9810173293225816,-1.025268041883498
42,64,Gabor + XPCA (Sort),6.063452254059818,93.93654774594017,0.981270401844905,-1.1673459151043897
42,64,Gabor + XPCA (Sort Weights),15.892407047463792,84.10759295253621,0.9219144131675814,8.661608878299583
42,128,Raw PCA,8.563922502978242,91.43607749702176,0.969317432242101,0.0
42,128,Raw XPCA (Min-Max),10.320647062511755,89.67935293748825,0.962487333252792,1.756724559533513
42,128,Gabor + PCA,6.70737977302652,93.29262022697348,0.9791214985571386,0.0
42,128,Gabor + XPCA (Min-Max),7.763245344535704,92.2367546554643,0.9764718405772057,1.0558655715091847
42,128,Gabor + XPCA (Softmax),8.917925888770453,91.08207411122955,0.9716865704555221,2.2105461157439334
42,128,Gabor + XPCA (Residual),5.278700858988026,94.72129914101197,0.9839918055876277,-1.4286789140384935
42,128,Gabor + XPCA (Sort),5.360837670073361,94.63916232992663,0.984344684046251,-1.3465421029531583
42,128,Gabor + XPCA (Sort Weights),15.894538842560662,84.10546115743934,0.9222678617361132,9.187159069534143
42,256,Raw PCA,8.581102263464793,91.41889773653521,0.9691358987259695,0.0
42,256,Raw XPCA (Min-Max),9.740297197316444,90.25970280268356,0.9662608173308519,1.1591949338516514
42,256,Gabor + PCA,6.051915480594397,93.94808451940561,0.9812331098057987,0.0
42,256,Gabor + XPCA (Min-Max),7.525738290801928,92.47426170919807,0.9775814897791589,1.4738228102075306
42,256,Gabor + XPCA (Softmax),8.669634459840742,91.33036554015925,0.972179174778142,2.6177189792463444
42,256,Gabor + XPCA (Residual),4.915041695404103,95.0849583045959,0.9865409015627558,-1.1368737851902946
42,256,Gabor + XPCA (Sort),4.633268543482353,95.36673145651766,0.9864036518842836,-1.4186469371120447
42,256,Gabor + XPCA (Sort Weights),15.902564424101826,84.09743557589817,0.9223552267976124,9.850648943507428
42,512,Raw PCA,8.86450561163709,91.1354943883629,0.969034312725471,0.0
42,512,Raw XPCA (Min-Max),9.385416013543168,90.61458398645684,0.9677696364478848,0.5209104019060771
42,512,Gabor + PCA,5.652015800363662,94.34798419963634,0.982690029346591,0.0
42,512,Gabor + XPCA (Min-Max),7.209981817041819,92.79001818295818,0.9786810238121817,1.557966016678157
42,512,Gabor + XPCA (Softmax),8.565051100382467,91.43494889961752,0.972493806936439,2.913035300018805
42,512,Gabor + XPCA (Residual),4.097310176186597,95.9026898238134,0.9886749379500818,-1.554705624177065
42,512,Gabor + XPCA (Sort),4.171045206596027,95.82895479340398,0.9890319833493652,-1.4809705937676352
42,512,Gabor + XPCA (Sort Weights),15.90331682237131,84.09668317762868,0.9223757201690144,10.251301022007649
42,1024,Raw PCA,8.981001943695528,91.01899805630447,0.9689378956399132,0.0
42,1024,Raw XPCA (Min-Max),8.963069784939492,91.03693021506051,0.9687106774795883,-0.017932158756035932
