PC_Index,Explained_Variance,Variance_Ratio,Fisher_Score,Fisher_Rank
211,0.16302592,0.0005561068,0.70184755,211
212,0.16223152,0.000553397,0.62952894,269
213,0.16127025,0.0005501179,0.7353301,197
214,0.15960515,0.000544438,0.63496166,261
215,0.15816496,0.00053952535,0.69948554,213
216,0.15775733,0.00053813483,0.6839282,228
217,0.1566406,0.0005343255,0.77645826,177
218,0.15580173,0.000531464,0.7452286,190
219,0.15545157,0.0005302695,0.64616084,250
220,0.15376863,0.0005245288,0.5785799,315
221,0.15329227,0.0005229038,0.74635047,189
222,0.15115525,0.0005156141,0.73893005,195
223,0.14965121,0.00051048363,0.69621253,216
224,0.14886375,0.00050779746,0.7062169,209
225,0.147564,0.0005033638,0.738962,194
226,0.1468048,0.000500774,0.7122448,207
227,0.14631152,0.0004990914,0.7147211,206
228,0.14551659,0.00049637974,0.64365804,254
229,0.14472504,0.00049367966,0.7644531,181
230,0.14416619,0.00049177336,0.5624906,336
231,0.14370151,0.00049018825,0.6801229,231
232,0.14291139,0.00048749303,0.6607032,241
233,0.14208815,0.0004846848,0.5848583,311
234,0.14185435,0.0004838873,0.7427755,192
235,0.1402827,0.00047852617,0.60816634,286
236,0.14007504,0.0004778178,0.773541,178
237,0.13892765,0.00047390387,0.54894805,359
238,0.13864885,0.00047295284,0.5864173,310
239,0.13758402,0.0004693205,0.6578126,244
240,0.13747594,0.00046895185,0.6858061,223
241,0.13630429,0.00046495517,0.7977804,169
242,0.1355413,0.00046235253,0.68397653,227
243,0.13549349,0.0004621894,0.6366197,258
244,0.1339605,0.00045696014,0.6067538,289
245,0.13331284,0.00045475087,0.6362856,259
246,0.13271654,0.0004527168,0.63348025,263
247,0.13190731,0.00044995642,0.5453877,364
248,0.13162689,0.00044899984,0.6065273,290
249,0.13085167,0.00044635544,0.5574725,345
250,0.13069548,0.00044582263,0.5993075,297
251,0.12983066,0.0004428726,0.5504505,354
252,0.12944363,0.0004415524,0.5728462,323
253,0.12834284,0.00043779743,0.5377579,373
254,0.127386,0.00043453352,0.6354791,260
255,0.12685098,0.00043270845,0.56304866,335
256,0.12582262,0.00042920056,0.64726835,248
257,0.1252132,0.00042712176,0.6736051,233
258,0.12493534,0.0004261739,0.60699385,288
259,0.12428656,0.00042396082,0.60119087,296
260,0.12382993,0.0004224032,0.64763445,247
261,0.12301759,0.00041963215,0.59769994,299
262,0.12224409,0.00041699366,0.62910813,272
263,0.121582985,0.00041473852,0.69377744,217
264,0.12117029,0.00041333074,0.6108452,283
265,0.12100861,0.00041277925,0.60194206,294
266,0.120012745,0.0004093822,0.65908766,243
267,0.119515754,0.00040768686,0.6173989,278
268,0.11888927,0.00040554983,0.60910934,285
269,0.118480146,0.00040415424,0.51225823,402
270,0.117804855,0.00040185073,0.59103364,304
271,0.11744713,0.00040063047,0.6450748,251
272,0.11671464,0.00039813184,0.6113148,282
