k,Rate,Distortion,Discriminative,Complexity,CAES_plus
16,32.572945,165.96294,19.557674,155.26496844542774,-121.59555433047451
32,50.29107,135.59789,36.79637,310.5299368908555,-64.03694148565606
64,72.87567,106.7468,67.128296,621.059873781711,2.2041703123792935
128,97.67142,81.51801,116.303635,1242.119747563422,70.35104387182889
256,120.34842,63.425354,187.91034,2484.239495126844,120.62142978467342
512,139.3306,50.856064,296.95523,4968.478990253688,137.00579902247185
