components,variance_retained,accuracy,eer,auc,ssim,psnr,explainability_score
16,0.4556375,0.8794293402136539,0.1205706597863461,0.9471261603233146,0.14514994981657564,18.19117,0.0
32,0.5673799,0.8935334621609131,0.10646653783908686,0.9563952461047418,0.16233850727592591,18.365932,0.3007415609086034
64,0.6805689,0.9007724301841948,0.0992275698158051,0.9605494022317262,0.18844166554016076,18.558222,0.5183604759152238
128,0.7849233,0.905666807627592,0.09433319237240803,0.961934218851564,0.22113022332649415,18.73363,0.7076218648960853
256,0.8700457,0.9067998479763186,0.09320015202368143,0.9619193714759868,0.26349338898030433,18.90632,0.846772540709047
512,0.93745697,0.907245034696015,0.09275496530398494,0.9617795262959143,0.3270792320817282,19.12603,0.9999999958915663
