k,mse_mean,mse_std,psnr_mean,psnr_std,ssim_mean,ssim_std
16,0.010129574,0.003963385,20.261852,1.6726235,0.36462347908587256,0.07385294381252974
32,0.008276238,0.0033620105,21.157198,1.7171887,0.4025042286393657,0.07317246418005292
64,0.006515308,0.0027644695,22.216194,1.7603174,0.44680472203358707,0.07200312890509095
128,0.0049754647,0.0022097384,23.411736,1.8153273,0.5035316610893779,0.07087684455109308
256,0.0038711764,0.001795257,24.530533,1.8802546,0.5642924643425145,0.06895270917042264
512,0.0031040078,0.0014848324,25.518745,1.9503812,0.6253963251062329,0.06563174213940497
