k,eer_mean,eer_std,eer_ci_half,accuracy_mean,accuracy_std,auc_mean,auc_std
16,0.11166576558733421,0.0035638566730467423,0.0016679362654016044,0.8883342344126657,0.0035638566730467358,0.9535414407766707,0.0025266149379354584
32,0.09670102366180797,0.004620983790902755,0.002162686985975376,0.903298976338192,0.004620983790902742,0.9623041987914883,0.002448297577211879
64,0.08977301722399762,0.003908195940162172,0.0018290920031076986,0.9102269827760022,0.003908195940162174,0.9661586072298924,0.0023890259858614284
128,0.08786357658906678,0.004043326656088076,0.0018923351249108583,0.912136423410933,0.004043326656088076,0.9670965310701304,0.002426709086906496
256,0.08752183556105124,0.00418739260167635,0.0019597600629206774,0.9124781644389486,0.004187392601676358,0.9670937763047253,0.0023943549061728156
512,0.08782588292392216,0.003952098670657427,0.001849639113460649,0.9121741170760778,0.003952098670657431,0.9669388780267039,0.002419466665242443
