,Variance_Retention,SSIM,PSNR,EER,Accuracy
Variance_Retention,1.0,0.9839918052299903,0.994301633271981,-0.9370020128599222,0.9370020128599245
SSIM,0.9839918052299903,1.0,0.9972050031360246,-0.8638009712004314,0.8638009712004339
PSNR,0.994301633271981,0.9972050031360246,1.0,-0.8955126330159257,0.8955126330159281
EER,-0.9370020128599222,-0.8638009712004314,-0.8955126330159257,1.0,-1.0000000000000018
Accuracy,0.9370020128599245,0.8638009712004339,0.8955126330159281,-1.0000000000000018,1.0
