k,eer_mean,eer_std,eer_ci_half,accuracy_mean,accuracy_std,auc_mean,auc_std
16,0.1310615209526291,0.009338254943772684,0.004370437844507557,0.8689384790473709,0.009338254943772675,0.9421566347804218,0.005936017736285845
32,0.11380507351814247,0.008376672414250358,0.0039204033677294105,0.8861949264818577,0.008376672414250368,0.9530130662886759,0.0057454954723197595
64,0.10469428858102761,0.008100459025530356,0.0037911315225623876,0.8953057114189724,0.008100459025530348,0.9579232647063423,0.005513855919248176
128,0.10088120783754903,0.008480414038255942,0.003968955942309422,0.899118792162451,0.00848041403825593,0.9599403266929973,0.005547187877930104
256,0.09848347563846441,0.007705413322339338,0.003606244442274707,0.9015165243615355,0.00770541332233933,0.9603049971479057,0.005530330245764886
512,0.09787479675324064,0.008758491271546123,0.004099100093586616,0.9021252032467594,0.008758491271546124,0.9603749379102868,0.005483868507465305
