k,Variance_Retention_Percent,Accuracy_Percent,EER_Percent,Template_Size_Bytes,Compression_Ratio
16,45.56375,87.94132813740656,12.058671862593433,64,1024.0
32,56.737988,89.35334621609131,10.646653783908686,128,512.0
64,68.056885,90.07724301841948,9.92275698158051,256,256.0
128,78.49233,90.5666807627592,9.433319237240804,512,128.0
256,87.00457,90.67998479763186,9.320015202368143,1024,64.0
512,93.7457,90.73538779421132,9.264612205788678,2048,32.0
