dimension,method,eer,accuracy,auc
32,Raw PCA,10.646653783908686,89.35334621609131,0.9563952139549128
32,Raw XPCA (Min-Max),16.62714407812447,83.37285592187553,0.9198524578878194
32,Gabor + PCA,10.07005222691497,89.92994777308503,0.9567711652871679
32,Gabor + XPCA (Min-Max),11.471899707193822,88.52810029280617,0.9516155580615763
32,Gabor + XPCA (Softmax),12.854476579966779,87.14552342003323,0.9413783305964257
32,Gabor + XPCA (Residual),10.17086605321899,89.829133946781,0.9568872809707226
64,Raw PCA,9.926504044151102,90.0734959558489,0.9605493912715573
64,Raw XPCA (Min-Max),14.973975758289482,85.02602424171052,0.9331400757425712
64,Gabor + PCA,8.928179516414811,91.07182048358519,0.9618016336874231
64,Gabor + XPCA (Min-Max),11.12609936139348,88.87390063860651,0.9547937147943572
64,Gabor + XPCA (Softmax),12.706646039979375,87.29335396002062,0.9422607907938158
64,Gabor + XPCA (Residual),8.992593306318794,91.0074066936812,0.9614654195438188
128,Raw PCA,9.433319237240804,90.5666807627592,0.9619342144674964
128,Raw XPCA (Min-Max),13.579800834702796,86.4201991652972,0.9410332957088269
128,Gabor + PCA,8.50824086118204,91.49175913881797,0.9647195689735556
128,Gabor + XPCA (Min-Max),10.733817596562698,89.2661824034373,0.9562700627080515
128,Gabor + XPCA (Softmax),12.610828297102811,87.3891717028972,0.942535854501296
128,Gabor + XPCA (Residual),8.596207615815459,91.40379238418454,0.9641402210174191
256,Raw PCA,9.320015202368143,90.67998479763186,0.9619193670919193
256,Raw XPCA (Min-Max),12.856528542803053,87.14347145719694,0.9453705078474233
256,Gabor + PCA,8.102755161578688,91.89724483842132,0.96666511368379
256,Gabor + XPCA (Min-Max),10.563326249600761,89.43667375039924,0.9572605682512382
256,Gabor + XPCA (Softmax),12.614307712346928,87.38569228765307,0.9426759006177998
256,Gabor + XPCA (Residual),8.286272011762206,91.71372798823779,0.9659772447105236
512,Raw PCA,9.259526906585732,90.74047309341427,0.961779529949304
512,Raw XPCA (Min-Max),12.45550363197422,87.54449636802578,0.9469174699378167
512,Gabor + PCA,7.86196178353041,92.13803821646958,0.9679522876195485
512,Gabor + XPCA (Min-Max),10.15445035052878,89.84554964947122,0.9582468957780099
512,Gabor + XPCA (Softmax),12.600746914472404,87.39925308552759,0.9427238959284374
512,Gabor + XPCA (Residual),8.051277659120796,91.94872234087921,0.9671965386664042
