components,accuracy,far,frr,eer,auc
16,0.8794293402136539,0.1205706597863461,0.1205706597863461,0.1205706597863461,0.9471261603233146
32,0.8935334621609131,0.10646653783908686,0.10646653783908686,0.10646653783908686,0.9563952461047418
64,0.9007724301841948,0.0992275698158051,0.0992275698158051,0.0992275698158051,0.9605494022317262
128,0.905666807627592,0.09433319237240803,0.09433319237240803,0.09433319237240803,0.961934218851564
256,0.9067998479763186,0.09320015202368143,0.09320015202368143,0.09320015202368143,0.9619193714759868
512,0.907245034696015,0.09275496530398494,0.09275496530398494,0.09275496530398494,0.9617795262959143
